accident_count,deaths,injuries,avg_severity,avg_risk_score,time_dimension,time_value,fatality_rate,injury_rate,risk_rank,is_worst,is_best
1081,151,1061,13.580559460069173,104.86760764113744,hour,0h,13.968547641073082,98.14986123959298,14.0,0,0
955,114,935,12.67940541559492,103.40967831768091,hour,1h,11.937172774869111,97.90575916230367,20.0,0,0
819,126,843,14.113731213990418,105.77148964245313,hour,2h,15.384615384615385,102.93040293040292,10.0,0,0
900,145,876,13.69694137355395,107.38042314386023,hour,3h,16.11111111111111,97.33333333333334,6.0,0,0
1162,176,1230,12.841171659546307,106.89649590626881,hour,4h,15.146299483648882,105.85197934595524,7.0,0,0
1580,217,1681,12.744518901082968,106.02576212055227,hour,5h,13.734177215189874,106.39240506329114,8.0,0,0
2350,243,2663,10.955735601860072,105.07926152211503,hour,6h,10.340425531914892,113.31914893617021,12.0,0,0
3396,157,4045,9.160654619447604,104.12976712046624,hour,7h,4.623085983510012,119.11071849234393,17.0,0,0
2756,132,3182,8.949520266927605,102.96858831350748,hour,8h,4.78955007256894,115.45718432510886,23.0,0,1
2337,132,2707,8.968903957246855,102.75231097756226,hour,9h,5.648267008985879,115.83226358579375,24.0,0,1
2239,120,2621,9.016062799875163,103.20493609062649,hour,10h,5.359535506922733,117.06118803037072,22.0,0,1
2284,132,2645,9.215875504713457,103.84440744440147,hour,11h,5.779334500875657,115.80560420315236,18.0,0,0
2251,134,2657,9.471632638003706,103.5706245650384,hour,12h,5.952909817858729,118.0364282541093,19.0,0,0
2314,141,2830,9.331728487832045,103.27650245671013,hour,13h,6.093344857389801,122.29904926534141,21.0,0,0
2485,173,3066,9.522272720665866,104.57437233636738,hour,14h,6.9617706237424555,123.38028169014083,16.0,0,0
2677,185,3240,9.554318639810607,104.9536126519249,hour,15h,6.91072095629436,121.0310048561823,13.0,0,0
2949,182,3500,9.391918166268395,105.77744112670885,hour,16h,6.171583587656833,118.6842997626314,9.0,0,0
3600,258,4335,9.792315059453216,107.68652372663314,hour,17h,7.166666666666667,120.41666666666666,5.0,0,0
4102,332,4785,10.559696073071901,110.27430163767987,hour,18h,8.093612871769869,116.6504144319844,1.0,1,0
3422,378,3863,11.644259389987432,109.54277904771384,hour,19h,11.046171829339567,112.88720046756282,2.0,1,0
2462,265,2754,11.988846828392061,107.76137726876415,hour,20h,10.763606823720552,111.86027619821284,4.0,0,0
2012,248,2224,12.423885727196582,108.45553860581684,hour,21h,12.326043737574553,110.53677932405566,3.0,1,0
1730,191,1861,12.436642335580459,105.5227004551026,hour,22h,11.040462427745664,107.57225433526013,11.0,0,0
1350,141,1436,12.168245178900415,104.7121032934668,hour,23h,10.444444444444445,106.37037037037035,15.0,0,0
7594,547,8579,10.097185198402638,104.6932467877406,day_of_week,segunda-feira,7.20305504345536,112.97076639452199,4.0,0,0
6644,502,7561,10.09548277187098,103.80481948775918,day_of_week,terça-feira,7.5556893437688135,113.80192655027092,7.0,0,1
6945,529,7897,10.146392274022576,104.07388229810816,day_of_week,quarta-feira,7.61699064074874,113.70770338372931,6.0,0,0
6956,524,7944,9.856273444430359,104.47556689458811,day_of_week,quinta-feira,7.533064979873491,114.20356526739506,5.0,0,0
8205,667,9509,10.074678912444051,106.45700381732264,day_of_week,sexta-feira,8.129189518586227,115.89274832419257,3.0,0,0
8465,826,9602,11.367999204709339,107.60294787194778,day_of_week,sábado,9.757826343768459,113.43177790903721,2.0,0,0
8404,878,9948,11.720580701353914,108.09889085158021,day_of_week,domingo,10.447405997144218,118.37220371251784,1.0,1,0
1753,142,2038,10.189945613460967,106.11312589253892,day_of_month,Dia 1,8.100399315459212,116.25784369652025,10.0,0,0
1741,163,2097,11.41023214768382,105.14861085606624,day_of_month,Dia 2,9.362435381964389,120.44801838024124,26.0,0,0
1616,126,1907,10.149198636330988,104.76768331012768,day_of_month,Dia 3,7.797029702970297,118.00742574257426,30.0,0,1
1754,131,2052,10.326151236949372,105.4981988516113,day_of_month,Dia 4,7.468643101482327,116.9897377423033,21.0,0,0
1759,154,2062,10.580134753424003,105.50685526855149,day_of_month,Dia 5,8.754974417282547,117.22569641841956,20.0,0,0
1758,152,2058,10.43177720298185,105.48617521073818,day_of_month,Dia 6,8.64618885096701,117.06484641638227,22.0,0,0
1772,139,1994,10.500603645703897,106.65741445730215,day_of_month,Dia 7,7.844243792325056,112.52821670428894,2.0,1,0
1765,173,2042,10.658201366952445,106.44898514615276,day_of_month,Dia 8,9.80169971671388,115.69405099150141,5.0,0,0
1861,147,2068,10.434244184378521,106.04390495706457,day_of_month,Dia 9,7.898979043524987,111.12305212251479,11.0,0,0
1754,149,2017,10.795561089668894,105.22366895860422,day_of_month,Dia 10,8.494868871151654,114.99429874572407,25.0,0,0
1775,121,1984,9.867746741889245,104.89975331346847,day_of_month,Dia 11,6.816901408450704,111.77464788732394,29.0,0,1
1805,145,2037,10.552213679898218,106.40236436495502,day_of_month,Dia 12,8.033240997229916,112.85318559556788,7.0,0,0
1791,165,2069,10.373841014018915,105.62517852584976,day_of_month,Dia 13,9.212730318257957,115.52205471803462,16.0,0,0
1749,116,2004,10.046483459789911,104.53598184193892,day_of_month,Dia 14,6.632361349342482,114.57975986277873,31.0,0,1
1705,149,1910,10.5732983617881,106.24379923024503,day_of_month,Dia 15,8.739002932551319,112.02346041055718,9.0,0,0
1742,125,2060,10.355684897650256,106.92659176957513,day_of_month,Dia 16,7.175660160734787,118.25487944890929,1.0,1,0
1795,164,2090,10.724773589730132,105.82791084536738,day_of_month,Dia 17,9.13649025069638,116.43454038997214,14.0,0,0
1741,142,2028,10.320133806004751,104.97748268106116,day_of_month,Dia 18,8.156232050545663,116.48477886272258,28.0,0,1
1789,166,2103,10.72521537303232,105.57591771592656,day_of_month,Dia 19,9.278926774734488,117.55170486305198,19.0,0,0
1734,176,1960,11.318976288016536,105.01488132754697,day_of_month,Dia 20,10.149942329873126,113.03344867358709,27.0,0,0
1766,154,2050,10.967476612937066,105.58346270366391,day_of_month,Dia 21,8.720271800679502,116.08154020385051,18.0,0,0
1819,159,2125,10.913393590809406,106.44540762716225,day_of_month,Dia 22,8.74106652006597,116.82242990654206,6.0,0,0
1721,163,1941,10.90325555305856,105.26180720201744,day_of_month,Dia 23,9.4712376525276,112.78326554328879,24.0,0,0
1768,146,1964,10.213219663552627,106.58419863786084,day_of_month,Dia 24,8.257918552036198,111.08597285067874,3.0,1,0
1679,153,1936,10.69951296965803,106.47278696132865,day_of_month,Dia 25,9.112567004169149,115.30673019654556,4.0,1,0
1788,134,2005,9.93407860921168,105.87348893745587,day_of_month,Dia 26,7.4944071588366885,112.13646532438479,13.0,0,0
1750,145,2029,10.248847905595806,105.99065685630566,day_of_month,Dia 27,8.285714285714285,115.94285714285715,12.0,0,0
1747,146,1927,10.771783568463592,105.67652745662363,day_of_month,Dia 28,8.35718374356039,110.30337721808816,15.0,0,0
1466,99,1670,9.78943309229803,105.383232097665,day_of_month,Dia 29,6.753069577080491,113.91541609822646,23.0,0,0
1583,143,1711,10.479949313780226,105.62483717428742,day_of_month,Dia 30,9.033480732785849,108.08591282375237,17.0,0,0
967,86,1102,11.306104080147513,106.38999219247182,day_of_month,Dia 31,8.89348500517063,113.9607032057911,8.0,0,0
5525,418,6912,10.155051312519818,105.65285736747794,month,janeiro,7.5656108597285066,125.10407239819004,6.0,0,0
5284,412,5968,10.487708158341826,105.53797273215866,month,fevereiro,7.797123391370174,112.9447388342165,8.0,0,0
5959,462,6783,10.448293837282524,105.67613699597786,month,março,7.752978687699279,113.82782346031213,5.0,0,0
5784,495,6674,10.301225903862974,105.60669141509585,month,abril,8.558091286307054,115.38727524204701,7.0,0,0
6094,574,6831,11.196589076082807,105.33446803872344,month,maio,9.419100754840827,112.09386281588448,9.0,0,1
6118,528,6916,10.552044057707901,105.92472714417966,month,junho,8.630271330500165,113.04347826086956,3.0,0,0
6237,536,7128,10.517004820864464,106.08333823106256,month,julho,8.593875260541928,114.28571428571428,1.0,1,0
6233,551,6996,10.572769823308171,106.02061139084904,month,agosto,8.840044922188351,112.24129632600675,2.0,0,0
5979,497,6832,10.456685657868176,105.81615200156901,month,setembro,8.312426827228633,114.26659976584712,4.0,0,0
